# Informe Mensal FIDC — observed CSV headers, competência 2026-08 (fetched 2026-09-11 from dados.cvm.gov.br)
# One block per ZIP member. Separator ';'. Encoding latin-1. This is the raw observation the mapping freeze (BACKLOG #1) diffs against Suplemento G.

## inf_mensal_fidc_tab_III_202608.csv  (13 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_III_VL_PASSIVO
    6  TAB_III_A_VL_PAGAR
    7  TAB_III_A1_VL_CPRAZO
    8  TAB_III_A2_VL_LPRAZO
    9  TAB_III_B_VL_POSICAO_DERIV
   10  TAB_III_B1_VL_TERMO
   11  TAB_III_B2_VL_OPCAO
   12  TAB_III_B3_VL_FUTURO
   13  TAB_III_B4_VL_SWAP_PAGAR

## inf_mensal_fidc_tab_II_202608.csv  (37 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_II_VL_CARTEIRA
    6  TAB_II_A_VL_INDUST
    7  TAB_II_B_VL_IMOBIL
    8  TAB_II_C_VL_COMERC
    9  TAB_II_C1_VL_COMERC
   10  TAB_II_C2_VL_VAREJO
   11  TAB_II_C3_VL_ARREND
   12  TAB_II_D_VL_SERV
   13  TAB_II_D1_VL_SERV
   14  TAB_II_D2_VL_SERV_PUBLICO
   15  TAB_II_D3_VL_SERV_EDUC
   16  TAB_II_D4_VL_ENTRET
   17  TAB_II_E_VL_AGRONEG
   18  TAB_II_F_VL_FINANC
   19  TAB_II_F1_VL_CRED_PESSOA
   20  TAB_II_F2_VL_CRED_PESSOA_CONSIG
   21  TAB_II_F3_VL_CRED_CORP
   22  TAB_II_F4_VL_MIDMARKET
   23  TAB_II_F5_VL_VEICULO
   24  TAB_II_F6_VL_IMOBIL_EMPRESA
   25  TAB_II_F7_VL_IMOBIL_RESID
   26  TAB_II_F8_VL_OUTRO
   27  TAB_II_G_VL_CREDITO
   28  TAB_II_H_VL_FACTOR
   29  TAB_II_H1_VL_PESSOA
   30  TAB_II_H2_VL_CORP
   31  TAB_II_I_VL_SETOR_PUBLICO
   32  TAB_II_I1_VL_PRECAT
   33  TAB_II_I2_VL_TRIBUT
   34  TAB_II_I3_VL_ROYALTIES
   35  TAB_II_I4_VL_OUTRO
   36  TAB_II_J_VL_JUDICIAL
   37  TAB_II_K_VL_MARCA

## inf_mensal_fidc_tab_IV_202608.csv  (6 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_IV_A_VL_PL
    6  TAB_IV_B_VL_PL_MEDIO

## inf_mensal_fidc_tab_IX_202608.csv  (76 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_IX_A1_1_1_COMPRA_MIN
    6  TAB_IX_A1_1_2_COMPRA_MEDIA
    7  TAB_IX_A1_1_3_COMPRA_MAX
    8  TAB_IX_A1_2_1_VENDA_MIN
    9  TAB_IX_A1_2_2_VENDA_MEDIA
   10  TAB_IX_A1_2_3_VENDA_MAX
   11  TAB_IX_A2_1_1_COMPRA_MIN
   12  TAB_IX_A2_1_2_COMPRA_MEDIA
   13  TAB_IX_A2_1_3_COMPRA_MAX
   14  TAB_IX_A2_2_1_VENDA_MIN
   15  TAB_IX_A2_2_2_VENDA_MEDIA
   16  TAB_IX_A2_2_3_VENDA_MAX
   17  TAB_IX_B1_1_1_COMPRA_MIN
   18  TAB_IX_B1_1_2_COMPRA_MEDIA
   19  TAB_IX_B1_1_3_COMPRA_MAX
   20  TAB_IX_B1_2_1_VENDA_MIN
   21  TAB_IX_B1_2_2_VENDA_MEDIA
   22  TAB_IX_B1_2_3_VENDA_MAX
   23  TAB_IX_B2_1_1_COMPRA_MIN
   24  TAB_IX_B2_1_2_COMPRA_MEDIA
   25  TAB_IX_B2_1_3_COMPRA_MAX
   26  TAB_IX_B2_2_1_VENDA_MIN
   27  TAB_IX_B2_2_2_VENDA_MEDIA
   28  TAB_IX_B2_2_3_VENDA_MAX
   29  TAB_IX_C1_1_1_COMPRA_MIN
   30  TAB_IX_C1_1_2_COMPRA_MEDIA
   31  TAB_IX_C1_1_3_COMPRA_MAX
   32  TAB_IX_C1_2_1_VENDA_MIN
   33  TAB_IX_C1_2_2_VENDA_MEDIA
   34  TAB_IX_C1_2_3_VENDA_MAX
   35  TAB_IX_C2_1_1_COMPRA_MIN
   36  TAB_IX_C2_1_2_COMPRA_MEDIA
   37  TAB_IX_C2_1_3_COMPRA_MAX
   38  TAB_IX_C2_2_1_VENDA_MIN
   39  TAB_IX_C2_2_2_VENDA_MEDIA
   40  TAB_IX_C2_2_3_VENDA_MAX
   41  TAB_IX_D1_1_1_COMPRA_MIN
   42  TAB_IX_D1_1_2_COMPRA_MEDIA
   43  TAB_IX_D1_1_3_COMPRA_MAX
   44  TAB_IX_D1_2_1_VENDA_MIN
   45  TAB_IX_D1_2_2_VENDA_MEDIA
   46  TAB_IX_D1_2_3_VENDA_MAX
   47  TAB_IX_D2_1_1_COMPRA_MIN
   48  TAB_IX_D2_1_2_COMPRA_MEDIA
   49  TAB_IX_D2_1_3_COMPRA_MAX
   50  TAB_IX_D2_2_1_VENDA_MIN
   51  TAB_IX_D2_2_2_VENDA_MEDIA
   52  TAB_IX_D2_2_3_VENDA_MAX
   53  TAB_IX_E1_1_1_COMPRA_MIN
   54  TAB_IX_E1_1_2_COMPRA_MEDIA
   55  TAB_IX_E1_1_3_COMPRA_MAX
   56  TAB_IX_E1_2_1_VENDA_MIN
   57  TAB_IX_E1_2_2_VENDA_MEDIA
   58  TAB_IX_E1_2_3_VENDA_MAX
   59  TAB_IX_E2_1_1_COMPRA_MIN
   60  TAB_IX_E2_1_2_COMPRA_MEDIA
   61  TAB_IX_E2_1_3_COMPRA_MAX
   62  TAB_IX_E2_2_1_VENDA_MIN
   63  TAB_IX_E2_2_2_VENDA_MEDIA
   64  TAB_IX_E2_2_3_VENDA_MAX
   65  TAB_IX_F1_1_1_COMPRA_MIN
   66  TAB_IX_F1_1_2_COMPRA_MEDIA
   67  TAB_IX_F1_1_3_COMPRA_MAX
   68  TAB_IX_F1_2_1_VENDA_MIN
   69  TAB_IX_F1_2_2_VENDA_MEDIA
   70  TAB_IX_F1_2_3_VENDA_MAX
   71  TAB_IX_F2_1_1_COMPRA_MIN
   72  TAB_IX_F2_1_2_COMPRA_MEDIA
   73  TAB_IX_F2_1_3_COMPRA_MAX
   74  TAB_IX_F2_2_1_VENDA_MIN
   75  TAB_IX_F2_2_2_VENDA_MEDIA
   76  TAB_IX_F2_2_3_VENDA_MAX

## inf_mensal_fidc_tab_I_202608.csv  (109 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  CLASSE_UNICA
    6  CNPJ_ADMIN
    7  ADMIN
    8  CLASSE
    9  CNPJ_CLASSE
   10  CONDOM
   11  FUNDO_EXCLUSIVO
   12  COTST_INTERESSE
   13  PRAZO_CONVERSAO_COTA
   14  TP_PRAZO_CONVERSAO_COTA
   15  PRAZO_PAGTO_RESGATE
   16  TP_PRAZO_PAGTO_RESGATE
   17  TAB_I_VL_ATIVO
   18  TAB_I1_VL_DISP
   19  TAB_I2_VL_CARTEIRA
   20  TAB_I2A_VL_DIRCRED_RISCO
   21  TAB_I2A1_VL_CRED_VENC_AD
   22  TAB_I2A2_VL_CRED_VENC_INAD
   23  TAB_I2A21_VL_TOTAL_PARCELA_INAD
   24  TAB_I2A3_VL_CRED_INAD
   25  TAB_I2A4_VL_CRED_DIRCRED_PERFM
   26  TAB_I2A5_VL_CRED_VENCIDO_PENDENTE
   27  TAB_I2A6_VL_CRED_EMP_RECUP
   28  TAB_I2A7_VL_CRED_RECEITA_PUBLICA
   29  TAB_I2A8_VL_CRED_ACAO_JUDIC
   30  TAB_I2A9_VL_CRED_FATOR_RISCO
   31  TAB_I2A10_VL_CRED_DIVERSO
   32  TAB_I2A11_VL_REDUCAO_RECUP
   33  TAB_I2A12_CPF_CNPJ_CEDENTE_1
   34  TAB_I2A12_PR_CEDENTE_1
   35  TAB_I2A12_CPF_CNPJ_CEDENTE_2
   36  TAB_I2A12_PR_CEDENTE_2
   37  TAB_I2A12_CPF_CNPJ_CEDENTE_3
   38  TAB_I2A12_PR_CEDENTE_3
   39  TAB_I2A12_CPF_CNPJ_CEDENTE_4
   40  TAB_I2A12_PR_CEDENTE_4
   41  TAB_I2A12_CPF_CNPJ_CEDENTE_5
   42  TAB_I2A12_PR_CEDENTE_5
   43  TAB_I2A12_CPF_CNPJ_CEDENTE_6
   44  TAB_I2A12_PR_CEDENTE_6
   45  TAB_I2A12_CPF_CNPJ_CEDENTE_7
   46  TAB_I2A12_PR_CEDENTE_7
   47  TAB_I2A12_CPF_CNPJ_CEDENTE_8
   48  TAB_I2A12_PR_CEDENTE_8
   49  TAB_I2A12_CPF_CNPJ_CEDENTE_9
   50  TAB_I2A12_PR_CEDENTE_9
   51  TAB_I2B_VL_DIRCRED_SEM_RISCO
   52  TAB_I2B1_VL_CRED_VENC_AD
   53  TAB_I2B2_VL_CRED_VENC_INAD
   54  TAB_I2B21_VL_TOTAL_PARCELA_INAD
